Time(s),Ch4
0.979,-0.0795365
0.98,-0.0806809
0.981,-0.0829697
0.982,-0.0858307
0.983,-0.0889778
0.984,-0.0904083
0.985,-0.0924111
0.986,-0.0929833
0.987,-0.0929833
0.988,-0.0918389
0.989,-0.0906944
0.99,-0.0901222
0.991,-0.0875473
0.992,-0.0846863
0.993,-0.083828
0.994,-0.0841141
0.995,-0.0832558
0.996,-0.0815392
0.997,-0.0801087
0.998,-0.0795365
0.999,-0.0803948
1,-0.080967
1.001,-0.0801087
1.002,-0.0781059
1.003,-0.0761032
1.004,-0.0749588
1.005,-0.0752449
1.006,-0.0746727
1.007,-0.0729561
1.008,-0.0729561
1.009,-0.0738144
1.01,-0.0729561
1.011,-0.0695229
1.012,-0.0686646
1.013,-0.0695229
1.014,-0.0695229
1.015,-0.0680924
1.016,-0.0646591
1.017,-0.0606537
1.018,-0.0563622
1.019,-0.0523567
1.02,-0.0492096
1.021,-0.0454903
1.022,-0.0411987
1.023,-0.0389099
1.024,-0.0377655
1.025,-0.0369072
1.026,-0.0380516
1.027,-0.042057
1.028,-0.0492096
1.029,-0.0546456
1.03,-0.0575066
1.031,-0.0609398
1.032,-0.0638008
1.033,-0.0660896
1.034,-0.0663758
1.035,-0.0649452
1.036,-0.0626564
1.037,-0.0600815
1.038,-0.0583649
1.039,-0.0572205
1.04,-0.05579
1.041,-0.0543594
1.042,-0.0535011
1.043,-0.0540733
1.044,-0.0540733
1.045,-0.0535011
1.046,-0.0523567
1.047,-0.0517845
1.048,-0.0517845
1.049,-0.0523567
1.05,-0.0523567
1.051,-0.0523567
1.052,-0.0523567
1.053,-0.0523567
1.054,-0.053215
1.055,-0.0546456
1.056,-0.0563622
1.057,-0.0572205
1.058,-0.0589371
1.059,-0.0612259
1.06,-0.0626564
1.061,-0.0635147
1.062,-0.0638008
1.063,-0.0640869
1.064,-0.0640869
1.065,-0.0635147
1.066,-0.0626564
1.067,-0.0617981
1.068,-0.0595093
1.069,-0.0575066
1.07,-0.05579
1.071,-0.0540733
1.072,-0.0520706
1.073,-0.0506401
1.074,-0.0509262
1.075,-0.0509262
1.076,-0.0500679
1.077,-0.0497818
1.078,-0.0492096
1.079,-0.0489235
1.08,-0.0483513
1.081,-0.0477791
1.082,-0.047493
1.083,-0.0463486
1.084,-0.044632
1.085,-0.0437737
1.086,-0.0423431
1.087,-0.0406265
1.088,-0.0389099
1.089,-0.0380516
1.09,-0.0371933
1.091,-0.036335
1.092,-0.0354767
1.093,-0.0346184
1.094,-0.0343323
1.095,-0.0346184
1.096,-0.0329018
1.097,-0.0317574
1.098,-0.030613
1.099,-0.0286102
1.1,-0.0274658
1.101,-0.0257492
1.102,-0.0240326
1.103,-0.0220299
1.104,-0.0205994
1.105,-0.0203133
1.106,-0.0197411
1.107,-0.0188828
1.108,-0.0174522
1.109,-0.0163078
1.11,-0.0163078
1.111,-0.0160217
1.112,-0.0163078
1.113,-0.0183106
1.114,-0.0211716
1.115,-0.0248909
1.116,-0.0291824
1.117,-0.0314713
1.118,-0.0331879
1.119,-0.0351906
1.12,-0.0377655
1.121,-0.0411987
1.122,-0.0423431
1.123,-0.0423431
1.124,-0.0411987
1.125,-0.0403404
1.126,-0.0394821
1.127,-0.0389099
1.128,-0.0374794
1.129,-0.0349045
1.13,-0.0320435
1.131,-0.028038
1.132,-0.0226021
1.133,-0.0165939
1.134,-0.0120163
1.135,-0.0088692
1.136,-0.0062943
1.137,-0.0037193
1.138,-0.0005722
1.139,0.0011444
1.14,0.0020027
1.141,0.0020027
1.142,0.0031471
1.143,0.0042915
1.144,0.0040054
1.145,0.0022888
1.146,0.0011444
1.147,0.0002861
1.148,0
1.149,-0.0002861
1.15,-0.0017166
1.151,-0.0034332
1.152,-0.0042915
1.153,-0.0054359
1.154,-0.0054359
1.155,-0.0060081
1.156,-0.0071526
1.157,-0.0097275
1.158,-0.0125885
1.159,-0.0163078
1.16,-0.0203133
1.161,-0.0237465
1.162,-0.0257492
1.163,-0.0277519
1.164,-0.0297546
1.165,-0.0329018
1.166,-0.036335
1.167,-0.0377655
1.168,-0.039196
1.169,-0.0409126
1.17,-0.0429154
1.171,-0.0454903
1.172,-0.0489235
1.173,-0.0512123
1.174,-0.0535011
1.175,-0.0560761
1.176,-0.0583649
1.177,-0.0600815
1.178,-0.061512
1.179,-0.0626564
1.18,-0.0638008
1.181,-0.0646591
1.182,-0.0632286
1.183,-0.0617981
1.184,-0.061512
1.185,-0.0603676
1.186,-0.0597954
1.187,-0.0589371
1.188,-0.0589371
1.189,-0.0580788
1.19,-0.0569344
1.191,-0.0552178
1.192,-0.0535011
1.193,-0.0520706
1.194,-0.0506401
